Nome Cidade,UF,Latitude,Longitude,DDD,Fuso
Monte Carlo,SC,-27.2239,-50.9808,49,America/Sao_Paulo
Monte Carmelo,MG,-18.7302,-47.4912,34,America/Sao_Paulo
Monte Castelo,SC,-26.461,-50.2327,47,America/Sao_Paulo
Monte Castelo,SP,-21.2981,-51.5679,18,America/Sao_Paulo
Monte das Gameleiras,RN,-6.43698,-35.7831,84,America/Sao_Paulo
Monte do Carmo,TO,-10.7611,-48.1114,63,America/Sao_Paulo
Monte Formoso,MG,-16.8691,-41.2473,33,America/Sao_Paulo
Monte Horebe,PB,-7.20402,-38.5838,83,America/Sao_Paulo
Monte Mor,SP,-22.945,-47.3122,19,America/Sao_Paulo
Monte Negro,RO,-10.2458,-63.29,69,America/Porto_Velho
Monte Santo,BA,-10.4374,-39.3321,75,America/Sao_Paulo
Monte Santo de Minas,MG,-21.1873,-46.9753,35,America/Sao_Paulo
Monte Santo do Tocantins,TO,-10.0075,-48.9941,63,America/Sao_Paulo
Monte Sião,MG,-22.4335,-46.573,35,America/Sao_Paulo
Monteiro,PB,-7.88363,-37.1184,83,America/Sao_Paulo
Monteiro Lobato,SP,-22.9544,-45.8407,12,America/Sao_Paulo
Monteirópolis,AL,-9.60357,-37.2505,82,America/Sao_Paulo
Montenegro,RS,-29.6824,-51.4679,51,America/Sao_Paulo
Montes Altos,MA,-5.83067,-47.0673,99,America/Sao_Paulo
Montes Claros,MG,-16.7282,-43.8578,38,America/Sao_Paulo
Montes Claros de Goiás,GO,-16.0059,-51.3979,62,America/Sao_Paulo
Montezuma,MG,-15.1702,-42.4941,38,America/Sao_Paulo
Montividiu,GO,-17.4439,-51.1728,64,America/Sao_Paulo
Montividiu do Norte,GO,-13.3485,-48.6853,62,America/Sao_Paulo
Morada Nova,CE,-5.09736,-38.3702,88,America/Sao_Paulo
Morada Nova de Minas,MG,-18.5998,-45.3584,37,America/Sao_Paulo
Moraújo,CE,-3.46311,-40.6776,88,America/Sao_Paulo
Moreilândia,PE,-7.61931,-39.546,87,America/Sao_Paulo
Moreira Sales,PR,-24.0509,-53.0102,44,America/Sao_Paulo
Moreno,PE,-8.10871,-35.0835,81,America/Sao_Paulo
Mormaço,RS,-28.6968,-52.6999,54,America/Sao_Paulo
Morpará,BA,-11.5569,-43.2766,77,America/Sao_Paulo
Morretes,PR,-25.4744,-48.8345,41,America/Sao_Paulo
Morrinhos,GO,-17.7334,-49.1059,64,America/Sao_Paulo
Morrinhos,CE,-3.23426,-40.1233,88,America/Sao_Paulo
Morrinhos do Sul,RS,-29.3578,-49.9328,51,America/Sao_Paulo
Morro Agudo,SP,-20.7288,-48.0581,16,America/Sao_Paulo
Morro Agudo de Goiás,GO,-15.3184,-50.0553,62,America/Sao_Paulo
Morro Cabeça no Tempo,PI,-9.71891,-43.9072,89,America/Sao_Paulo
Morro da Fumaça,SC,-28.6511,-49.2169,48,America/Sao_Paulo
Morro da Garça,MG,-18.5356,-44.601,38,America/Sao_Paulo
Morro do Chapéu,BA,-11.5488,-41.1565,74,America/Sao_Paulo
Morro do Chapéu do Piauí,PI,-3.73337,-42.3024,86,America/Sao_Paulo
Morro do Pilar,MG,-19.2236,-43.3795,31,America/Sao_Paulo
Morro Grande,SC,-28.8006,-49.7214,48,America/Sao_Paulo
Morro Redondo,RS,-31.5887,-52.6261,53,America/Sao_Paulo
Morro Reuter,RS,-29.5379,-51.0811,51,America/Sao_Paulo
Morros,MA,-2.85379,-44.0357,98,America/Sao_Paulo
Mortugaba,BA,-15.0225,-42.3727,77,America/Sao_Paulo
Morungaba,SP,-22.8811,-46.7896,11,America/Sao_Paulo
Mossâmedes,GO,-16.124,-50.2136,64,America/Sao_Paulo
Mossoró,RN,-5.18374,-37.3474,84,America/Sao_Paulo
Mostardas,RS,-31.1054,-50.9167,51,America/Sao_Paulo
Motuca,SP,-21.5103,-48.1538,16,America/Sao_Paulo
Mozarlândia,GO,-14.7457,-50.5713,62,America/Sao_Paulo
Muaná,PA,-1.53936,-49.2224,91,America/Sao_Paulo
Mucajaí,RR,2.43998,-60.9096,95,America/Porto_Velho
Mucambo,CE,-3.90271,-40.7452,88,America/Sao_Paulo
Mucugê,BA,-13.0053,-41.3703,75,America/Sao_Paulo
Muçum,RS,-29.163,-51.8714,51,America/Sao_Paulo
Mucuri,BA,-18.0754,-39.5565,73,America/Sao_Paulo
Mucurici,ES,-18.0965,-40.52,27,America/Sao_Paulo
Muitos Capões,RS,-28.3132,-51.1836,54,America/Sao_Paulo
Muliterno,RS,-28.3253,-51.7697,54,America/Sao_Paulo
Mulungu,PB,-7.02525,-35.46,83,America/Sao_Paulo
Mulungu,CE,-4.30294,-38.9951,85,America/Sao_Paulo
Mulungu do Morro,BA,-11.9648,-41.6374,74,America/Sao_Paulo
Mundo Novo,BA,-11.8541,-40.4714,74,America/Sao_Paulo
Mundo Novo,MS,-23.9355,-54.281,67,America/Porto_Velho
Mundo Novo,GO,-13.7729,-50.2814,62,America/Sao_Paulo
Munhoz,MG,-22.6092,-46.362,35,America/Sao_Paulo
Munhoz de Melo,PR,-23.1487,-51.7737,44,America/Sao_Paulo
Muniz Ferreira,BA,-13.0092,-39.1092,75,America/Sao_Paulo
Muniz Freire,ES,-20.4652,-41.4156,28,America/Sao_Paulo
Muquém de São Francisco,BA,-12.065,-43.5497,77,America/Sao_Paulo
Muqui,ES,-20.9509,-41.346,28,America/Sao_Paulo
Muriaé,MG,-21.13,-42.3693,32,America/Sao_Paulo
Muribeca,SE,-10.4271,-36.9588,79,America/Sao_Paulo
Murici,AL,-9.30682,-35.9428,82,America/Sao_Paulo
Murici dos Portelas,PI,-3.319,-42.094,86,America/Sao_Paulo
Muricilândia,TO,-7.14669,-48.6091,63,America/Sao_Paulo
Muritiba,BA,-12.6329,-38.9921,75,America/Sao_Paulo
Murutinga do Sul,SP,-20.9908,-51.2774,18,America/Sao_Paulo
Mutuípe,BA,-13.2284,-39.5044,75,America/Sao_Paulo
Mutum,MG,-19.8121,-41.4407,33,America/Sao_Paulo
Mutunópolis,GO,-13.7303,-49.2745,62,America/Sao_Paulo
Muzambinho,MG,-21.3692,-46.5213,35,America/Sao_Paulo
Nacip Raydan,MG,-18.4544,-42.2481,33,America/Sao_Paulo
Nantes,SP,-22.6156,-51.24,18,America/Sao_Paulo
Nanuque,MG,-17.8481,-40.3533,33,America/Sao_Paulo
Não-Me-Toque,RS,-28.4548,-52.8182,54,America/Sao_Paulo
Naque,MG,-19.2291,-42.3312,33,America/Sao_Paulo
Narandiba,SP,-22.4057,-51.5274,18,America/Sao_Paulo
Natal,RN,-5.79357,-35.1986,84,America/Sao_Paulo
Natalândia,MG,-16.5021,-46.4874,38,America/Sao_Paulo
Natércia,MG,-22.1158,-45.5123,35,America/Sao_Paulo
Natividade,TO,-11.7034,-47.7223,63,America/Sao_Paulo
Natividade,RJ,-21.039,-41.9697,22,America/Sao_Paulo
Natividade da Serra,SP,-23.3707,-45.4468,12,America/Sao_Paulo
Natuba,PB,-7.63514,-35.5586,83,America/Sao_Paulo
Navegantes,SC,-26.8943,-48.6546,47,America/Sao_Paulo
Naviraí,MS,-23.0618,-54.1995,67,America/Porto_Velho
Nazaré,BA,-13.0235,-39.0108,75,America/Sao_Paulo
Nazaré,TO,-6.37496,-47.6643,63,America/Sao_Paulo
Nazaré da Mata,PE,-7.74149,-35.2193,81,America/Sao_Paulo
Nazaré do Piauí,PI,-6.97023,-42.6773,89,America/Sao_Paulo
Nazaré Paulista,SP,-23.1747,-46.3983,11,America/Sao_Paulo
Nazareno,MG,-21.2168,-44.6138,35,America/Sao_Paulo
Nazarezinho,PB,-6.9114,-38.322,83,America/Sao_Paulo
Nazária,PI,-5.35128,-42.8153,86,America/Sao_Paulo
Nazário,GO,-16.5808,-49.8817,64,America/Sao_Paulo
Neópolis,SE,-10.3215,-36.585,79,America/Sao_Paulo
Nepomuceno,MG,-21.2324,-45.235,35,America/Sao_Paulo
Nerópolis,GO,-16.4047,-49.2227,62,America/Sao_Paulo
Neves Paulista,SP,-20.843,-49.6358,17,America/Sao_Paulo
Nhamundá,AM,-2.20793,-56.7112,92,America/Porto_Velho
Nhandeara,SP,-20.6945,-50.0436,17,America/Sao_Paulo
Nicolau Vergueiro,RS,-28.5298,-52.4676,54,America/Sao_Paulo
