Nome Cidade,UF,Latitude,Longitude,DDD,Fuso
Olho-d'Água do Borges,RN,-5.9486,-37.7047,84,America/Sao_Paulo
Olhos d'Água,MG,-17.3982,-43.5719,38,America/Sao_Paulo
Olímpia,SP,-20.7366,-48.9106,17,America/Sao_Paulo
Olímpio Noronha,MG,-22.0685,-45.2657,35,America/Sao_Paulo
Olinda,PE,-8.01017,-34.8545,81,America/Sao_Paulo
Olinda Nova do Maranhão,MA,-2.99295,-44.9897,98,America/Sao_Paulo
Olindina,BA,-11.3497,-38.3379,75,America/Sao_Paulo
Olivedos,PB,-6.98434,-36.241,83,America/Sao_Paulo
Oliveira,MG,-20.6982,-44.829,37,America/Sao_Paulo
Oliveira de Fátima,TO,-10.707,-48.9086,63,America/Sao_Paulo
Oliveira dos Brejinhos,BA,-12.3132,-42.8969,77,America/Sao_Paulo
Oliveira Fortes,MG,-21.3401,-43.4499,32,America/Sao_Paulo
Olivença,AL,-9.51954,-37.1954,82,America/Sao_Paulo
Onça de Pitangui,MG,-19.7276,-44.8058,37,America/Sao_Paulo
Onda Verde,SP,-20.6042,-49.2929,17,America/Sao_Paulo
Oratórios,MG,-20.4298,-42.7977,31,America/Sao_Paulo
Oriente,SP,-22.1549,-50.0971,14,America/Sao_Paulo
Orindiúva,SP,-20.1861,-49.3464,17,America/Sao_Paulo
